受付番号,内容
185001345000000011,"【項目名】
５．各論点について
（１）学習・開発段階
エ【著作権者の利益を不当に害することになる場合の具体例について】
-（エ）本ただし書に該当し得る上記（ウ）の具体例について（学習のための複製等を防止
する技術的な措置が施されている場合等の考え方）
に関する意見となります。
「そのため、AI 学習のための著作物の複製等を防止する技術的な措置が講じられ
ており、かつ、このような措置が講じられていること等の事実から～～」
という項目は、法第30の4による権利制限を形骸化してしまうものと推察します。
例としてデジタルアートを用いますが、mistといった学習阻害技術を用いた上で、著作
者によって「この資料は将来販売します」と表明された場合、これは現状の文章を読む限
り、権利制限の対象とはならないと推認できます。
この項目を変更あるいは削除せずに採用する場合、我が国のAI学習に多大なる負の影
響を及ぼすことが考えられます。
現状、AI系のビッグテックが我が国に拠点を設けてようとしている点については、大抵
の学習が合法であることに起因するのではないでしょうか。
権利制限の条文が形骸化された暁には、我が国のアドバンテージは失われます。
可能ならば、この文言は削除がよいのではないかと考えます。"
185001345000000012,"海賊版サイトなど違法な学習元からの学習行為は違法にするべき。
海賊版サイトなどの違法サイトや違法データからの学習を許容すると、これらが氾濫する
おそれがある。
またそれらの判別のためにもAI制作者は学習元の公開を必須にするべき。"
185001345000000013,"生成AIの活用については、基本的に推進していくべきだと考える。
文章生成系のAIは、効率よく使用すれば企画職や事務職の作業効率を大幅に改善でき
る。日本の労働人口不足の解消や生産性向上に大きく寄与する可能性がある。
画像・音楽・動画などの生成系AIは、今後より技術的に発展すれば、クリエイティブの
現場の生産性を改善する可能性があると感じる。
加えて、絵が描けなかった人が画像生成AIを活用することで、クリエイティブを始める
ようになった事例もある。コンテンツの作り手が増えることはプラスに働くと考える。
上記の通り、生成AIの活用は推進していくべきである。
AIのアウトプットの質を向上し、より人間にとって有益な存在にするために、AIへの著
作物の学習は容認していく方向性を希望する。
一方で、既存のクリエイターの権利は保護されるべきである。
特に、画像生成AIの領域では特定のクリエイターの絵柄に意図的に似せるためのデータ
セットを作成している事例も存在する。
このような、明確に「似せる」意思を持って作られた学習データは、生成AI推進の立場
の私から見ても、非常にお行儀が悪いと言わざるを得ない。
画像生成AIについては、利用のガイドラインを明確に定め、国として容認できるライ
ン、許容されないラインを、現状のガイドラインよりもより具体的に示していただきた
い。
一度生まれてしまった技術は、なくすことはできないと考えます。
生成AIという新しい技術を上手く日本社会に浸透させ、労働環境の改善や生産性向上に
寄与するような施策を求めます。"
185001345000000014,"【侵害に対する措置について】
同項目におおむね賛同するが、加えての提案
「侵害の行為を組成した物」又は「侵害の行為によつて作成された物」が確認されていな
がらも、学習用データセットの差止請求・学習済みモデル廃棄請求とまでは至らない。そ
れらのような「侵害の可能性がある」場合にも何かしらの請求を行えるようにしたい。
例えば生成AIが「侵害の可能性がある」ものを容易には作成できぬよう、生成AIに何ら
かの制限を設ける。事業者に対して侵害の可能性を警告する、又は事業者に対して警告の
表示を義務付ける。これらのような軽度の請求も想定してほしい。
その他、全般的な提案。生成AIによる学習は人間よりも遥かに高速・膨大であり、人間
が行うそれとは明らかに規模が違う。人対人で想定される著作権とは異なる判断基準・運
用を期待したい。"
185001345000000015,"生成AIを全面的に禁止してください。人が長い間育てた絵柄を簡単に盗まれるようでは
多くのクリエイターが心が折れ、創作文化の発展が止まってしまいます。また、絵柄によ
る作家への悪質ななりすまし、フェイク画像などが簡単に作成できてしまい、社会が混乱
してしまいます。絶対に生成AIを全面的に禁止してください、よろしくお願いします。"
185001345000000016,"そもそも生成AIの出力物をコンテンツとして公開することを禁止すべきです。
犯罪です。
そして文化庁が政府の生成AIセミナーを開けという命令に従い、剽窃AI犯罪企業に対し
て、オマエラは犯罪者だ！と宣言をしたくなかったがために嘘を吹聴した結果、日本が酷
い盗作国家となってしまいました。
あなたたちは文化破壊庁です。
生成AIからの出力物は人間が作ってないので著作物ではありません。
そして人間が作った著作物を児童ポルノ等も含めて利用されたデータセットを検索して合
成されたものなので複製物です。
現状、日本以外での生成AIからの出力物は～
・研究目的（利用者が研究者であること）
・私的利用の範囲内（ネット上のへの公開や販売は不可能）
日本では30条の４で解禁状態になってますが本来は
・生成するためには学習セットの収集（無断収集含む）から自社で行い、出力するまで行
わなければいけません。
現状の生成AIサービスがなぜ違法なことをやれているかといえば、AIで生成した盗作を
利用者に提供したわけではなく、グラフィックボードや大量の電気の対価だと言い訳して
いるのです。
また自分たちは生成AIによる盗品を利用者に提供しておきながら、その画像を公開した
りした場合の犯罪行為はすべて利用者の責任と擦り付けています。
そう。生成AIサービスの会社は直接犯罪を行っていません。
私的利用の範囲内・・ネットに公開しなければ違法ではない。
サービスで盗品をクローズドな場所で渡すまでなら合法です。
金払って日本人が犯罪者にされています。
さてなぜ犯罪者なのか？
現行法で生成AI利用したコンテンツを公開した者を犯罪者として処罰できると考えられ
る罪状は以下のようなものがあると考えています。
すべて非親告罪なので警察が動けば犯罪になるはずです。
■生成AIで出力したものを手描きとして売った場合
詐欺罪（企業の場合景品表示法違反）
刑法246条（詐欺）
人を欺いて財物を交付させた者は、１０年以下の懲役に処する。
■スクレイピングによる学習データを利用した生成AIを利用して公開した場合
著作権法120条（60条該当）著作者が存しなくなった後における人格的利益の保護
非親告罪 500万円以下の罰金
LAION-5Bをはじめとしたスクレイピングによる画像データを使っている場合、
・死者の著作物を利用している
・仮に生きていたとして著作者人格権を侵害している
原則的には著作者人格権は作者の死亡とともに消える権利。ですが死者の作品を自分のも
のとするような悪徳行為を死人に口なしといわんばかりに悪用させない為の法律です。
多くの場合では有効ではないはずですが、まさかその作者名を入れないとか、無断で改変
するというようなとんでもない悪用を自称生成AIの登場で世界的に行われるとは考えて
なかったとも思います。
つまり日本だけ画像生成AI使っただけで罰金500万円以下の犯罪者になります。
■生成AI画像を自分が描いたと称する（自分の名前やペンネームを作者名として記載）場
合
著作権法第121条
著作者でない者の実名又は周知の変名を著作者名として表示した著作物の複製物（原著作
物の著作者でない者の実名又は周知の変名を原著作物の著作者名として表示した二次的著
作物の複製物を含む。）を頒布した者は、１年以下の懲役若しくは100万円以下の罰金に
処し、又はこれを併科する。
・・・つまり生成AIの画像を作って自分が描いたと称する場合、罪が加算される。
1年以下もしくは合わせて600万円以下の罰金
なお非親告罪なので警察が捕まえる気になれば捕まえられます。
■児童や学生と思われるポルノ画像を生成し公開した場合
児童ポルノ製造等罪
こちらも刑法で非親告罪化されました。また無償提供も罪に問われます。
3年以下の懲役または300万円以下の罰金
さらにネットで送信する場合は
5年以下の懲役もしくは500万円以下の罰金となり、またはこれを併科されます。
合わせて8年以下、800万円以下の罰金
児童ポルノというと女児だと思うかもしれませんが18歳以下の男女関係なく罪
ただ絵は違います。リアルな３DCGも現在の判例としては絵に含まれるので原則的には
罪に問われません。・・・が画像生成AIにはマジモンの児童ポルノの写真が入っています
ので有罪になるという見解。
■Stable Diffusionの画像生成AIシステムをPCで所持している場合
児童ポルノ単純所持罪、ならびに上記製造罪が適用されると思われます。
1枚も製造してなく、ハードディスクなどからでなければ、単純所持罪か単純じゃない所
持なので無罪になるかもしれません。生成AI利用者を刑に処してください。"
185001345000000017,全面的に支持いたします
185001345000000018,"まず、現状の生成AIの運用状態は問題があると思います。
生成AIは、インターネット上の画像や文章音声などを無断で収集し、抽出し、データセ
ットとして圧縮します。そして高度な検索システムでデータを選別し、圧縮したデータを
もとに復元するシステムです。
収集したデータには権利者が存在するはずですが、現在はその意思などを完全に無視し、
権利者ではない第三者が商用利用などを行い利益を得ている状態です。これははっきりと
搾取であると感じます。
そもそも、生成AIは元データを復元する過程で他のデータと合成することで、本来そこ
に存在している権利者が誰かをわからなくする、ロンダリングをするシステムだと思いま
す。生成AIを利用することは、使用者も権利者も気が付かないうちに、膨大な量のデー
タを隠れ蓑に、混ぜることでデータそのものを盗用していると言えます。
インターネット上、あるいは著作物に存在するデータはいくらでも際限なく生成AIに利
用できるとすることは、先人の作り上げてきた文化や芸術、業績などを破壊する未来につ
ながっていくと思います。私はそのような状況にはっきりとNOを突きつけたいです。"
185001345000000019,"## 生成AIに関する視座
- 今般の議論を経て、日本や欧米においてAIによる学習を規制する法整備が成されても、
中国をはじめとした他国でAIによる学習を規制することはできない。その結果として、
インターネットを中心としたグローバリゼーション社会において著作者の権利を守れず、
規制がある国のAI成長が鈍化する、という最悪のシナリオは避けるべきである。
## 生成AIの問題の本質
- 生成AIでも人間でも学習し生成することは同じであるが、明らかに異なる部分は「速
度」と「誰でもできること」である。
- 立件された作品1点ずつを類似性や依拠性について判決を出す速度は、生成AIが1点
を生成して配布されるまでの速度を上回る必要があるが、これは実現実効性に乏しい。こ
れが生成AIと現行法が矛盾する点であり、学習や生成について法規制をしても防げない
大きな問題となる。
## AIによる学習を現行法の改正で是正する案
- まず、著作者の権利の侵害について定義する。AIによる学習自体は、著作者の権利を何
ら侵害するものではない。AIによる学習で得られた学習モデルを使って生成し、生成物を
「配布」することで、著作者の権利を侵害する。
- 次に、悪意のある著作権侵害が行われる流れについて定義する。悪意のある著作権を侵
害した作品の配布においては、著作物の名前を使って衆目を集め、モデルの利用または侵
害した作品の販売などを行う。
- 以上のことから、次の提言を行う。著作物の名前を使用する権利に対して保護を強化、
侵害への罰則を強化する。
- これによって、著作物の公衆への配布・衆目を集める行為・収益化を制限することがで
き、結果として生成AIによる著作権の侵害を国内外問わず明確に行える様になる。
- 明確な権利侵害についての定義が法律上で行えること、類似性や依拠性を考慮しなくて
よいこと、結果として非親告罪として取り扱えることから、実現実効性が高いと言える。
- 具体的な法整備の一例として、ミッキーマウスを例に取ると「ミ●キーマウス」等の伏せ
字を用いた作品の配布に対しても規制を行うことを前提とする。
- この提案は、生成AI自体を何ら制限するものでは無く、国内のAI技術の遅れにもつな
がらないため、AI産業の競争力低下につながらないという利点があることも強調する。"
185001345000000020,"イラストや写真などはお金と時間をかけて作られた「所有者の財産」であり、本来お金を
払って作成していただいたり、ライセンスを購入して使用するものです。
生成AIだから無断無償で学習、販売してOKとは本来ならないです。法律がまだ整備さ
れていないだけです。
どうかご協力をお願いします。"
185001345000000021,"二点、述べさせていただきます。
一点目、「（２）生成AIに関する新たな技術について」に関して
先日、新たに、画像にノイズを付加することでイラスト生成AI学習を攻撃するツールが
リリースされました。このツールにつきまして、以下の二点の示していただきたいと思い
ます。
・そのような生成AI攻撃ツールは「AI 開発・学習のための複製等を防止する技術的な措
置」として扱うか（ノイズ不可による生成AI攻撃処理を施していた場合、第30条の４た
だし書に該当するかどうか）
・そのような生成AI攻撃ツールによって企業等が作成する生成AIに悪影響（被害）が生
じた場合、業務妨害等の犯罪・違法行為となるか
二点目、「４．関係者からの様々な懸念の声について」に関して
現在、SNSを中心に、所謂「反AI」と呼ばれる人達がこのパブリックコメントの拡散等
を行っています。その結果として、これらの「反AI」から、生成AIに対する強烈な反対
意見がこのパブリックコメントに寄せられると思います。しかし、これらの意見を読む
際、一つ注意していただきたい点がございます。
「反AI」の殆どが絵描きであり、これらの生成AIに対する反対意見は自身の仕事が減る
ことを恐れたポジショントークでしかない、という点です。彼らは絵師を守る等を目的と
していると自称していますが、それは建前でしかなく、自分の仕事を減らさないためのポ
ジショントークです。その証拠として、彼らは、生成AIに賛成的な絵師に対して激しい
攻撃を行うほか、同様に無断学習によって成り立つ機械翻訳等は当然のように使用する等
のダブル・スタンダードを展開しています。このように、大きな矛盾を孕んだポジション
トークである、という点を頭に入れることを強く推奨します。
AIの更なる発展と効果的な利用のために、上記二点、よろしくお願いいたします。"
185001345000000022,"私は、人工知能（AI）の違法化が親告罪である場合について深い懸念を抱いている一人で
す。現在、AIは私たちの日常生活においてますます重要な役割を果たしており、その発展
は進み続けています。しかし、もしAIが違法行為に使用された場合、その責任を被害者
だけに押し付けるのは公正ではないと考えています。
AIが違法化され、その責任が親告罪として個人に帰属する場合、多くの人々が不当な負担
を強いられるおそれがあります。例えば、AIを開発した企業や個人に対して訴訟を起こす
ためには、証拠を収集し、裁判を進めるための費用や時間が必要となるでしょう。その結
果、一部の個人や企業のみが訴訟を起こす余裕がある一方で、多くの被害者は救済を受け
ることができないかもしれません。
私は、違法行為に関与したAIに対しては責任を問う必要があると考えていますが、その
責任が均等に分担されるべきであると主張します。被害者が訴訟を起こす主体となるだけ
でなく、関連企業や機関が適切な対策を講じる責任を持つべきです。
AIの違法行為に関する法律が議論された際には、被害者の権利を保護し、公正な制度を確
立するよう強く働きかける必要があると考えています。私たちは、個別の被害者に違法行
為への対処をゆだねるのではなく、法的なフレームワークを作り上げ、適切な責任割当を
行うことで、公平かつ効果的な対策を講じるべきです。
AIの違法行為に関する法律が議論された際には、被害者の権利を保護し、公正な制度を確
立するよう強く働きかける必要があると考えています。私たちは、個別の被害者に違法行
為への対処をゆだねるのではなく、法的なフレームワークを作り上げ、適切な責任割当を
行うことで、公平かつ効果的な対策を講じるべきです。"
185001345000000023,"５．各論点について
（１）学習・開発段階
【著作権者の利益を不当に害することとなる場合について】
（イ）アイデア等が類似するにとどまるものが大量に生成されること
について
「著作権法が保護する利益でないアイデア等が類似するにとどまるものが大量に生成され
ることにより、特定のクリエイター又は著作物に対する需要が、AI 生成物によって代替
されてしまうような事態が生じることは想定しうるものの、」とあるが、
論文 著作者人格権侵害とみなす行為と名誉毀損( https://www.agulin.aoyama.ac.jp/m
md/library01/BD81126429/Body/link/ab40126429.pdf ) では名誉声望保持権は将来
的・期待的な名誉声望も保護するという解釈があり、例えばある著作者の著作物を情報解
析に利用することで、その著作者の将来的な名誉声望を喪失させるおそれがある場合は名
誉声望保持権の侵害に当たることが考えられる。
また、生成AIは、既存の表現に類似する表現を創作意図がなくとも出力できるようにす
ることができ、すなわち「誰が表現しても同じようなものとなるありふれた表現」化させ
ることができると言えるのではないか。特定の著作者の著作物を、ありふれた表現と混同
させる目的で利用するような場合は、その著作者の(将来的ではなく現在の)社会的な名誉
声望を害する方法で著作物を利用したと解されるのではないか。
これらは特定の著作者の著作物の特徴を学習させた生成AIモデルを公開する、あるいは
そのAIの生成物を大量に公開するなどした場合が考えられる。"
185001345000000024,"２．検討の前提として
（１）従来の著作権法の考え方との整合性について
生成AIによる学習は当然出力を前提とするものであり、元の画像や文章、音声に類
似、またはほぼ同一のものが出力される現在の状況において、元の権利者の当然得られた
であろう金銭的収入、社会的地位、名誉を傷つける可能性がある学習を拒否する権利が必
要であると考える。
５．各論点について
（１）学習・開発段階
まず学習においてはその内容の出典をすべて明らかにすることを求める。また、その過
程で著作権者、被写体などの権利者の許可が得られない場合は勝手に利用できないものと
すべきである。
これはコピー品や写真の捏造、ドラえもん最終話同人誌問題のような作者の意図しない
表現を無数に量産することへの歯止めであるとともに、正当な報酬を支払うことで権利を
買うという当然の経済行為を促すものである。
（２）生成・利用段階
生成されたものについては、生成AI製であることを明示することを求める。
生成AIで作成されたデータを実際の戦争や災害の画像などとして発表された結果報道
を混乱させ、著名人、あるいは身近な人間になりすまし、犯罪行為や倫理にもとる行動を
とらせて名誉を傷つけたり、詐欺に使われる例がみられるようになっている。
これらをとめるためにも、また、従来の人間が作ったものと差別化する意味でも、生成
AIとそうでないものが明らかに分別可能であるようにすべきと考える。
また、生成されたものが違法であると判断された場合には、生成者にその責があるとす
べきである。
（３）生成物の著作物性について
生成AIによって作り出されたデータには、著作物性はないと考える。
その表現は学習元に依拠しており、出力者および生成AIそのものが表現したものでは
なく、また同じ文言を使えば全く別の人間であっても同じ表現が可能だからである。"
185001345000000025,"５．各論点について
（１）学習・開発段階
【著作権者の利益を不当に害することとなる場合について】
エ 著作権者の利益を不当に害することとなる場合の具体例について
（ウ）情報解析に活用できる形で整理したデータベースの著作物の例について
「非享受目的を本来的利用とする著作物」を、データベースの著作物に限るべきではない
と考える。
「非享受目的を本来的利用とする著作物」をデータベースの著作物のみに限るのは、該当
する著作物の中で経済価値をもつものが、過去にデータベースの著作物しかなかっただけ
ではないかと思われる。生成AIの追加学習などの技術が生まれることで、その前提は覆
ると思う。個々の著作物を「非享受目的を本来的利用とする著作物」として扱うことに経
済的価値が生まれるのであれば、新たな「非享受目的を本来的利用とする著作物」が生ま
れることは十分考えられることだと思われる。
例えばイラストの著作物について、情報解析を困難にするノイズを付与したものを享受目
的用として公開し、ノイズを付与していないものを非享受目的用として販売する場合が考
えられる。
この場合、いくつか考え方があると思われる。ノイズは単なる技術的な措置だとし、両方
を一つの著作物の複製物と捉え、「享受目的と非享受目的両方を本来的利用とする一つの
著作物」とする考え方。両者を別の著作物と捉え、「享受目的と非享受目的それぞれを本
来的利用とする二つの著作物」とする考え方。なんらかの基準によってどちらが本来的利
用かを第三者が決定し、「享受目的と非享受目的いずれかを本来的利用とする一つの著作
物」とする考え方。
いずれにせよ、「非享受目的を本来的利用とする著作物」の枠組みについて検討するべき
ではないかと思う。"
185001345000000026,"学習元のデータを考えるに、著作権の問題やクリーンなことを前提とするのなら何を持っ
て担保するかになるのだろうと思うところ。既存のイラスト投稿サイトや小説などの投稿
サイト、また国などで創作物のデータバンクを作り、著作権フリーの場とするか。または
データが利用される度に元データの製作者に還元する形に取るかでそこを解決する他ない
のではと思うところ。その方向ならば日本のクリエイターを守れるしクールジャパン政策
にも合致するのではと思う。
一部生成AIに対する嫌悪的なユーザーに関しては感情的な部分が多く感じる。生成CIの
問題として著作権など以前に学習と生成のスパンの速さから問題視してる点も多いと思
う。
既存のイラスト、創作物を見てそこから人が想像や知識として蓄えて生成するのとAIが
生成するスピードが違いすぎるので創作者側が自分たちの仕事を失うのではという点など
をも合わさって問題視してるとも思う。
ただし、生成AIは絵柄のコピー製品に近いのでそこら辺は著作権などの問題になるのだ
とは思う。
生成AIに関して、感情的な部分と著作権にふれる部分と利便性が混ざった問題に思う。
ただ、生成AIを規制するより、既存の創作者と著作権的に問題ない状態にする方向に勧
めたほうが他国との無法地帯な状態と違う日本の強みになり得ると思うところである。"
185001345000000027,"あなた方は未来がどうとか技術がどうとか言っておられますが生成AIを用いて特定のイ
ラストレーター等に嫌がらせをしようとする連中の存在を知っているはずです。
ロシア軍がAIを用いてゼレンスキー大統領に虚偽の発言をさせる動画を発信した様にデ
マの拡散のなど、犯罪行為のためにAIを使用する人間も少なからず存在するのです。
くだらないことをごちゃごちゃ抜かす前にきちんと法整備をして下さい。"
185001345000000028,"生成AIイラストは窃盗です。
生成AIは無許可で人の絵をAIに学習させてます。
イラストの絵柄はその人が人生をかけて作り上げてきた財産です。
また絵描きはそのツールがたとえデジタルでも作業が早い人でも最低6時間はかけて1枚
のイラストを描き上げています。
どうか努力が報われる世の中にしてください。
インボイスでダメージを受けたイラストレーターにさらに生成AIに寛容な世の中にして
追い討ちをかけないでください。
海外から愛される日本の文化。その日本の文化を支える人たちを大事にしてください。"
